Candidate,Reporting Period,Report Type,Date Paid,Entity Name,First Name,Middle Initial,Last Name,Addr Line1,City,State,Zip,Zip4,Expenditure Type,Amount,Purpose,Election Type,Expenditure Paid Communications Platform,Expenditure Paid Communications Quantity,Expenditure Paid Communications Subject Matter
Montana Dental PAC,01/01/2020 to 03/30/2020,C6,01/22/20,"Noland, Mark R.",,,,PO BOX 1852,Bigfork,MT,59911,,All Other Expenditures,180.0,Contribution,Primary,,,
Montana Dental PAC,01/01/2020 to 03/30/2020,C6,01/22/20,"Regier, Matt K",,,,PO Box 9763,Kalispell,MT,59904,,All Other Expenditures,180.0,Contribution,Primary,,,
Montana Dental PAC,01/01/2020 to 03/30/2020,C6,01/30/20,Republican GOP,,,,2153 Alpine Dr.,Helena,MT,59601,,All Other Expenditures,1500.0,Contribution,Primary,,,
Montana Dental PAC,01/01/2020 to 03/30/2020,C6,01/07/20,"Ricci, Vince J",,,,Box 266,Laurel,MT,59044,,All Other Expenditures,180.0,Contribution,Primary,,,
Montana Dental PAC,01/01/2020 to 03/30/2020,C6,01/22/20,"Small, Jason  D",,,,HC42 Box 560,Busby,MT,59016,,All Other Expenditures,180.0,Contribution,Primary,,,
Montana Dental PAC,01/01/2020 to 03/30/2020,C6,02/28/20,"Smith, Frank J",,,,P.O Box 729,Poplar,MT,59255,,All Other Expenditures,180.0,Contribution,Primary,,,
Montana Dental PAC,01/01/2020 to 03/30/2020,C6,01/22/20,"Tschida, Brad",,,,10825 Mullan Rd,Missoula,MT,59808,,All Other Expenditures,180.0,Contribution,Primary,,,
Montana Dental PAC,11/27/2018 to 12/31/2019,C6,11/20/19,"Balance , Nancy",,,,PO Box 314,Hamilton,MT,59840,,All Other Expenditures,180.0,Contribution,Primary,,,
Montana Dental PAC,11/27/2018 to 12/31/2019,C6,11/20/19,"Bedey, David F",,,,P.O. Box 692,Hamilton,MT,59840,,All Other Expenditures,180.0,Contribution,Primary,,,
Montana Dental PAC,11/27/2018 to 12/31/2019,C6,11/20/19,"Custer, Geraldine",,,,Box 1075,Forsyth,MT,59327,,All Other Expenditures,180.0,Contribution,Primary,,,
Montana Dental PAC,11/27/2018 to 12/31/2019,C6,11/20/19,"Fitzpatrick, Steve",,,,3203 15th Ave S,Great Falls,MT,59405,,All Other Expenditures,180.0,Contribution,Primary,,,
Montana Dental PAC,11/27/2018 to 12/31/2019,C6,11/20/19,"Galloway, Lola N",,,,202 Sun Prairie Rd,Great Falls,MT,59404,,All Other Expenditures,180.0,Contribution,Primary,,,
Montana Dental PAC,11/27/2018 to 12/31/2019,C6,09/17/19,"Gillette, Edith J",,,,PO Box 1028,Bozeman,MT,59771,,All Other Expenditures,180.0,Contribution,Primary,,,
Montana Dental PAC,11/27/2018 to 12/31/2019,C6,11/20/19,"Hertz, Greg",,,,PO Box 1747,Polson,MT,59860,,All Other Expenditures,180.0,Contribution,Primary,,,
Montana Dental PAC,11/27/2018 to 12/31/2019,C6,11/20/19,"Hinebauch, Steve",,,,610 Road 118,Wibaux,MT,59353,,All Other Expenditures,180.0,Contribution,Primary,,,
Montana Dental PAC,11/27/2018 to 12/31/2019,C6,11/20/19,"Jones, Llew E",,,,1102 4th Ave. SW,Conrad,MT,59425,,All Other Expenditures,180.0,Contribution,Primary,,,
Montana Dental PAC,11/27/2018 to 12/31/2019,C6,11/20/19,"Kelker, Katharin A",,,,2438 Rimrock Road,Billings,MT,59102,,All Other Expenditures,180.0,Contribution,Primary,,,
Montana Dental PAC,11/27/2018 to 12/31/2019,C6,11/20/19,"Krautter, Joel G",,,,P.O. Box 1142,Sidney,MT,59270,,All Other Expenditures,180.0,Contribution,Primary,,,
Montana Dental PAC,11/27/2018 to 12/31/2019,C6,02/08/19,Montana Democratic Party,,,,P.O. Box 802,Helena,MT,59624,,All Other Expenditures,2500.0,Metcalf Mansfield Dinner Sponsor,General,,,
Montana Dental PAC,11/27/2018 to 12/31/2019,C6,07/03/19,Montana Dental Association,,,,PO Box 1154,Helena,MT,59624,,All Other Expenditures,307.64,Office supplies,General,,,
Montana Dental PAC,11/27/2018 to 12/31/2019,C6,05/03/19,Montana Republican Party,,,,PO Box 935,Helena,MT,59624,,All Other Expenditures,2500.0,Dinner Sponsorship,General,,,
Montana Dental PAC,11/27/2018 to 12/31/2019,C6,11/20/19,"Osmundsen, Ryan",,,,2288 U-Bet Rd,Buffalo,MT,59418,,All Other Expenditures,180.0,Contribution,Primary,,,
Montana Dental PAC,11/27/2018 to 12/31/2019,C6,11/20/19,"Peppers, Patricia Rae",,,,PO Box 497,Lame Deer,MT,59043,,All Other Expenditures,180.0,Contribution,Primary,,,
Montana Dental PAC,11/27/2018 to 12/31/2019,C6,11/20/19,"Regier, Amy",,,,164 Parkridge Drive,Kalispell,MT,59901,,All Other Expenditures,180.0,Contribution,Primary,,,
Montana Dental PAC,11/27/2018 to 12/31/2019,C6,11/20/19,"Sullivan, Katie",,,,PO Box 7853,Missoula,MT,59807,,All Other Expenditures,180.0,Contribution,Primary,,,
Montana Dental PAC,11/27/2018 to 12/31/2019,C6,11/20/19,"Welch, Tom",,,,607 Highland Avenue,Dillon,MT,59725,,All Other Expenditures,180.0,Contribution,Primary,,,
Granite County Democratic Central Cmte.,01/23/2020 to 04/27/2020,C6,04/27/20,Granite County Courier ,,,,PO Box 392,Drummond,MT,59832,,All Other Expenditures,10.0,one half payment for virtual forum.,Primary,Facebook/internet ,One time event,Virtual meet & greet with primary candidates on internet platform.  Cost shared with Republicans. 
Granite County Democratic Central Cmte.,02/24/2019 to 01/22/2020,C6,09/12/19,"DAVIS, Judith D",,,,PO Box 194,Hall,MT,59837,,All Other Expenditures,190.0,"Reimbursement picnic food & supplies held Sept.14, 2019",Primary,,,
Granite County Democratic Central Cmte.,02/24/2019 to 01/22/2020,C6,06/12/19,"Peterson , Susan",,,,Box 427,Drummond,MT,59832,,All Other Expenditures,17.5,Reimbursement for one-half payment for Tri-County Fair booth,Primary,,,
Granite County Democratic Central Cmte.,02/24/2019 to 01/22/2020,C6,10/07/19,Philipsburg Mail ,,,,Box 160,Philipsburg,MT,59858,,All Other Expenditures,138.0,"Two ads for Democratic picnic, fundraiser",Primary,,,
Granite County Democratic Central Cmte.,02/24/2019 to 01/22/2020,C6,06/11/19,Philipsburg Mail ,,,,Box 160,Philipsburg,MT,59858,,All Other Expenditures,57.0,"Notice of annual meeting, 3 xv4 ad ",Primary,,,
Montana Rural Voters Action Fund,05/26/2020 to 06/25/2020,C6,06/25/20,ActBlue,,,,PO Box 441146,Somerville,MA,2144,,All Other Expenditures,0.79,Merchant Fees on Individual Contribution Made Via ActBlue,General,,,
Montana Rural Voters Action Fund,05/26/2020 to 06/25/2020,C6,06/01/20,Postmaster,,,,841 S 26th Street,Billings,MT,59101,,All Other Expenditures,240.0,Bulk Mail Permit Renewal,General,,,
Montana Rural Voters Action Fund,05/26/2020 to 06/25/2020,C6,06/22/20,WORC,,,,"220 S 27th St, STE B",Billings,MT,59101,,All Other Expenditures,1340.14,"Staffing services for fundraising appeal, regulatory reporting & questionnaires,  Occupancy, Telecom, Printing,  Postage, and General Overhead. ",General,,,
Montana Rural Voters Action Fund,04/26/2020 to 05/25/2020,C6,05/14/20,Allegra Print & Imaging,,,,2620 OVerland Ave,Billings,MT,59102,,All Other Expenditures,304.19,"Printing (500) #10 Envelopes, (500) #6 envelopes, and (50) Thank you cards",General,,,
Montana Rural Voters Action Fund,04/26/2020 to 05/25/2020,C6,05/08/20,"Olson, Karen",,,,394 W Daffodil,Billings,MT,59102,,All Other Expenditures,35.09,Postage reimbursement for fundraising appeal,Primary,,,
Montana Rural Voters Action Fund,04/26/2020 to 05/25/2020,C6,05/08/20,Postmaster,,,,841 S 26th St,Billings,MT,59101,,All Other Expenditures,44.36,Postage for fundraising appeal,Primary,,,
Montana Rural Voters Action Fund,04/26/2020 to 05/25/2020,C6,05/22/20,WORC,,,,"220 S 27th St, STE B",Billings,MT,59101,,All Other Expenditures,1491.04,"Administrative staffing time for planning and fundraising and reimbursement for overhead expenses (occupancy, telecommunications, & office supplies)",Primary,,,
Montana Rural Voters Action Fund,03/26/2020 to 04/25/2020,C6,03/31/20,Northern Plains Resource Council,,,,220 S 27th St,Billings,MT,59101,,All Other Expenditures,495.52,"Staff time for program planning and administrative reporting, occupancy, utilities, and related overhead ",General,,,
Montana Rural Voters Action Fund,01/01/2020 to 03/25/2020,C6,01/22/20,Lisa's Sandwich Den,,,,2908 1st Avenue N,Billings,MT,59101,,All Other Expenditures,40.12,Lunch for board meeting,General,,,
Montana Rural Voters Action Fund,01/01/2020 to 03/25/2020,C6,02/26/20,Northern Plains Resource Council,,,,220 S 27th Street STE A,Billings,MT,59101,,All Other Expenditures,133.96,Staff time ($117.24) and travel expenses ($16.72) to facilitate training for Bill Berg.  In-kind contribution to Bill Berg for Commissioner campaign.,General,in-person,1,Elements of a good campaign and volunteer recruitment and management training.
Montana Rural Voters Action Fund,01/01/2020 to 03/25/2020,C6,03/20/20,Northern Plains Resource Council,,,,220 S 27th Street STE A,Billings,MT,59101,,All Other Expenditures,163.32,"Administrative time for planning and financial reporting, occupancy, telecom, and similar overhead expenses",General,,,
Montana Rural Voters Action Fund,01/01/2020 to 03/25/2020,C6,02/26/20,Northern Plains Resource Council,,,,"220 S 27th Street, Ste A",Billings,MT,59101,,All Other Expenditures,1724.03,"Administrative time for reporting and planning meetings, occupancy, telecom, and similar overhead expenses",General,,,
Montana Rural Voters Action Fund,01/01/2020 to 03/25/2020,C6,03/01/20,Postmaster,,,,841 S 26th Street,Billings,MT,59103,,All Other Expenditures,106.0,Annual PO Box renewal,General,,,
Montana Rural Voters Action Fund,11/26/2019 to 12/31/2019,C6,12/31/19,Northern Plains Resource Council,,,,"220 S. 27th Street, Ste A",Billings,MT,59101,,All Other Expenditures,127.71,"Administrative staff time, occupancy and overhead expenses for the month of December",General,,,
Montana Rural Voters Action Fund,11/26/2019 to 12/31/2019,C6,11/30/19,Facebook,,,,"1 Hacker Way, Suite 1210",Menlo Park,CA,94025,,Debt and Loan Payment,26.21,,General,,,
Montana Rural Voters Action Fund,11/26/2019 to 12/31/2019,C6,11/30/19,Facebook,,,,"1 Hacker Way, Suite 1210",Menlo Park,CA,94025,,Debt and Loan Payment,25.54,,General,,,
Montana Rural Voters Action Fund,11/26/2019 to 12/31/2019,C6,11/30/19,Facebook,,,,"1 Hacker Way, Suite 1210",Menlo Park,CA,94025,,Debt and Loan Payment,16.01,,General,,,
Montana Rural Voters Action Fund,11/26/2019 to 12/31/2019,C6,11/30/19,Facebook,,,,"1 Hacker Way, Suite 1210",Menlo Park,CA,94025,,Debt and Loan Payment,82.1,,General,,,
Montana Rural Voters Action Fund,11/26/2019 to 12/31/2019,C6,12/01/19,Northern Plains Resource Council,,,,220 S 27th Street,Billings,MT,59101,,Debt and Loan Payment,785.76,,General,,,
Montana Rural Voters Action Fund,11/26/2019 to 12/31/2019,C6,12/01/19,Northern Plains Resource Council,,,,"220 S 27th Street, Ste A",Billings,MT,59101,,Debt and Loan Payment,640.84,,General,,,
Montana Rural Voters Action Fund,11/26/2019 to 12/31/2019,C6,12/01/19,Northern Plains Resource Council,,,,220 S. 27th Street,Billings,MT,59101,,Debt and Loan Payment,2123.41,,General,,,
Montana Rural Voters Action Fund,11/26/2019 to 12/31/2019,C6,12/01/19,Northern Plains Resource Council,,,,220 S. 27th Street,Billings,MT,59101,,Debt and Loan Payment,2029.87,,General,,,
Montana Rural Voters Action Fund,10/26/2019 to 11/25/2019,C6,11/15/19,"Berg, Paula",,,,PO Box 414,Billings,MT,59103,,All Other Expenditures,4.05,Postage reimbursement,General,,,
Montana Rural Voters Action Fund,10/26/2019 to 11/25/2019,C6,11/25/19,Facebook,,,,"1 Hacker Way, Suite 1210",Menlo Park,CA,94025,,Debts and Loans Not Yet Paid,82.1,"Facebook ads in support of Mike Boyett (parks & trails, more vibrant community)",General,,,
Montana Rural Voters Action Fund,10/26/2019 to 11/25/2019,C6,11/25/19,Facebook,,,,"1 Hacker Way, Suite 1210",Menlo Park,CA,94025,,Debts and Loans Not Yet Paid,16.01,"Facebook ads in support of Kendra Shaw (parks & trails, more vibrant community)",General,,,
Montana Rural Voters Action Fund,10/26/2019 to 11/25/2019,C6,11/25/19,Facebook,,,,"1 Hacker Way, Suite 1210",Menlo Park,CA,94025,,Debts and Loans Not Yet Paid,25.54,"Facebook ads in support of Danny Choriki (parks & trails, more vibrant community)",General,,,
Montana Rural Voters Action Fund,10/26/2019 to 11/25/2019,C6,11/25/19,Facebook,,,,"1 Hacker Way, Suite 1210",Menlo Park,CA,94025,,Debts and Loans Not Yet Paid,26.21,"Facebook ads in support of Carmelita Dominguez (parks & trails, more vibrant community)",General,,,
Montana Rural Voters Action Fund,10/26/2019 to 11/25/2019,C6,11/25/19,Northern Plains Resource Council,,,,220 S 27th Street,Billings,MT,59101,,Debts and Loans Not Yet Paid,785.76,Canvassing and phone banking in support of Kendra Shaw (5 people for a total of 21 hours between 11/1 and 11/5).,General,,,
Montana Rural Voters Action Fund,10/26/2019 to 11/25/2019,C6,11/25/19,Northern Plains Resource Council,,,,220 S. 27th Street,Billings,MT,59101,,Debts and Loans Not Yet Paid,2029.87,Canvassing and phone banking in support of Danny Choriki (5 people for a total of 54.25 hours between 11/1 and 11/5).,General,,,
Montana Rural Voters Action Fund,10/26/2019 to 11/25/2019,C6,11/25/19,Northern Plains Resource Council,,,,220 S. 27th Street,Billings,MT,59101,,Debts and Loans Not Yet Paid,2123.41,Canvassing and phone banking in support of Carmelita Dominguez (5 people for a total of 56.75 hours between 11/1 and 11/5).,General,,,
Montana Rural Voters Action Fund,10/26/2019 to 11/25/2019,C6,11/25/19,Northern Plains Resource Council,,,,"220 S 27th Street, Ste A",Billings,MT,59101,,Debts and Loans Not Yet Paid,640.84,"Administrative staff time, occupancy and overhead expenses for the month of November",General,,,
Montana Rural Voters Action Fund,10/26/2019 to 11/25/2019,C6,10/29/19,FACEBOOK,,,,1 HACKER WAY,MENLO PARK,CA,94025,,Debt and Loan Payment,54.28,,General,,,
Montana Rural Voters Action Fund,10/26/2019 to 11/25/2019,C6,10/29/19,FACEBOOK,,,,1 HACKER WAY,MENLO PARK,CA,94025,,Debt and Loan Payment,91.27,,General,,,
Montana Rural Voters Action Fund,10/26/2019 to 11/25/2019,C6,10/29/19,FACEBOOK,,,,1 HACKER WAY,MENLO PARK,CA,94025,,Debt and Loan Payment,90.48,,General,,,
Montana Rural Voters Action Fund,10/26/2019 to 11/25/2019,C6,10/29/19,FACEBOOK,,,,1 HACKER WAY,MENLO PARK,CA,94025,,Debt and Loan Payment,63.97,,General,,,
Montana Rural Voters Action Fund,10/26/2019 to 11/25/2019,C6,10/31/19,Mailing Technical Services,,,,850 S 27th Street,Billings,MT,59101,,Debt and Loan Payment,792.39,,General,,,
Montana Rural Voters Action Fund,10/26/2019 to 11/25/2019,C6,10/31/19,Mailing Technical Services,,,,850 S 27th Street,Billings,MT,59101,,Debt and Loan Payment,1139.06,,General,,,
Montana Rural Voters Action Fund,10/26/2019 to 11/25/2019,C6,10/31/19,Mailing Technical Services,,,,850 S 27th Street,Billings,MT,59101,,Debt and Loan Payment,544.78,,General,,,
Montana Rural Voters Action Fund,10/26/2019 to 11/25/2019,C6,11/25/19,Northern Plains Resource Council,,,,"220 S. 27th Street, Suite A",Billings,MT,59101,,Debt and Loan Payment,5709.79,,General,,,
Montana Rural Voters Action Fund,10/26/2019 to 11/25/2019,C6,11/25/19,Northern Plains Resource Council,,,,"220 S. 27th Street, Suite A",Billings,MT,59101,,Debt and Loan Payment,2101.34,,General,,,
Montana Rural Voters Action Fund,10/26/2019 to 11/25/2019,C6,11/25/19,Northern Plains Resource Council,,,,"220 S. 27th Street, Suite A",Billings,MT,59101,,Debt and Loan Payment,2116.25,,General,,,
Montana Rural Voters Action Fund,10/26/2019 to 11/25/2019,C6,11/25/19,Northern Plains Resource Council,,,,"220 S. 27th Street, Suite A",Billings,MT,59101,,Debt and Loan Payment,55.98,,General,,,
Montana Rural Voters Action Fund,10/26/2019 to 11/25/2019,C6,11/25/19,Northern Plains Resource Council,,,,"220 S. 27th Street, Suite A",Billings,MT,59101,,Debt and Loan Payment,1830.06,,General,,,
Montana Rural Voters Action Fund,10/26/2019 to 11/25/2019,C6,11/25/19,Strange Sister Creative,,,,550 Park Lane,Billings,MT,59102,,Debt and Loan Payment,400.0,,General,,,
Montana Rural Voters Action Fund,09/27/2019 to 10/25/2019,C6,10/18/19,Paypal,,,,2211 N. First Street,San Jose,CA,95110,,All Other Expenditures,10.75,Fees on donation received through paypal,General,,,
Montana Rural Voters Action Fund,09/27/2019 to 10/25/2019,C6,10/15/19,Paypal,,,,2211 N. First Street,San Jose,CA,95110,,All Other Expenditures,3.2,Fees on donation received through paypal,General,,,
Montana Rural Voters Action Fund,09/27/2019 to 10/25/2019,C6,10/01/19,Billings Times,,,,2919 Montana Avenue,Billings,MT,59101,,Independent Expenditure,561.0,"Print 2,000 walk cards for canvasing in support of Carmelita Dominguez",General,canvass walk cards,"2,000","parks and trails, more vibrant community"
Montana Rural Voters Action Fund,09/27/2019 to 10/25/2019,C6,10/01/19,Billings Times,,,,2919 Montana Avenue,Billings,MT,59101,,Independent Expenditure,575.0,"Print 2,000 walk cards for canvassing in support of Danny Choriki",General,canvass walk cards,"2,000","parks and trails, more vibrant communities"
Montana Rural Voters Action Fund,09/27/2019 to 10/25/2019,C6,10/22/19,Billings Times,,,,2919 Montana Avenue,Billings,MT,59101,,Independent Expenditure,505.0,"Print 1,700 Walk Cards for canvassing in support of Danny Choriki",General,Walk cars for canvassing,"1,700","Parks and trails, more vibrant community"
Montana Rural Voters Action Fund,09/27/2019 to 10/25/2019,C6,10/22/19,Billings Times,,,,2919 Montana Avenue,Billings,MT,59101,,Independent Expenditure,405.0,"Print 1,200 Walk Cards for canvassing in support of Kendra Shaw",General,canvass walk cards,"1,200","parks and trails, more vibrant community"
Montana Rural Voters Action Fund,09/27/2019 to 10/25/2019,C6,10/22/19,Billings Times,,,,2919 Montana Avenue,Billings,MT,59101,,Independent Expenditure,1025.77,"Print 3,975  6x11 mailers in support of Carmelita Dominguez",General,6x11 mailers,"3,975","parks and trails, more vibrant community"
Montana Rural Voters Action Fund,09/27/2019 to 10/25/2019,C6,10/22/19,Billings Times,,,,2919 Montana Avenue,Billings,MT,59101,,Independent Expenditure,490.58,"Print 1,850  6x11 mailers in support of Kendra Shaw",General,6x11 mailers,"1,850","parks and trails, more vibrant community"
Montana Rural Voters Action Fund,09/27/2019 to 10/25/2019,C6,10/22/19,Billings Times,,,,2919 Montana Avenue,Billings,MT,59101,,Independent Expenditure,713.57,"Print 2,750  6x11 mailers in support of Danny Choriki",General,6x11 Mailers,"2,750","parks and trails, more vibrant community"
Montana Rural Voters Action Fund,09/27/2019 to 10/25/2019,C6,10/25/19,FACEBOOK,,,,1 HACKER WAY,MENLO PARK,CA,94025,,Independent Expenditure,49.71,Facebook ads in support of Kendra Shaw running 10/22-10/25,General,Facebook,Ads running 10/22-10/25,"Parks and trails, more vibrant community"
Montana Rural Voters Action Fund,09/27/2019 to 10/25/2019,C6,10/25/19,FACEBOOK,,,,1 HACKER WAY,MENLO PARK,CA,94025,,Independent Expenditure,53.96,Facebook ads in support of Mike Boyett running 10/22-10/25,General,Facebook,Ads running 10/22-10/25,"Parks and trails, more vibrant community"
Montana Rural Voters Action Fund,09/27/2019 to 10/25/2019,C6,10/25/19,FACEBOOK,,,,1 HACKER WAY,MENLO PARK,CA,94025,,Independent Expenditure,83.14,Facebook ads in support of Carmelita Dominguez running 10/22-10/25,General,Facebook,Ads running 10/22-10/25,"Parks and trails, more vibrant community"
Montana Rural Voters Action Fund,09/27/2019 to 10/25/2019,C6,10/25/19,FACEBOOK,,,,1 HACKER WAY,MENLO PARK,CA,94025,,Independent Expenditure,83.19,Facebook ads in support of Danny Choriki running 10/22-10/25,General,Facebook,Ads running 10/22-10/25,"Parks and trails, more vibrant community"
Montana Rural Voters Action Fund,09/27/2019 to 10/25/2019,C6,10/29/19,FACEBOOK,,,,1 HACKER WAY,MENLO PARK,CA,94025,,Debts and Loans Not Yet Paid,63.97,Estimated expenses - Facebook ad in support of Boyett - scheduled 10/26-11/2,General,,,
Montana Rural Voters Action Fund,09/27/2019 to 10/25/2019,C6,10/29/19,FACEBOOK,,,,1 HACKER WAY,MENLO PARK,CA,94025,,Debts and Loans Not Yet Paid,90.48,Estimated expenses - Facebook ad in support of Dominguez - scheduled 10/26-10/30,General,,,
Montana Rural Voters Action Fund,09/27/2019 to 10/25/2019,C6,10/29/19,FACEBOOK,,,,1 HACKER WAY,MENLO PARK,CA,94025,,Debts and Loans Not Yet Paid,91.27,Estimated Expense - Facebook ad in support of Choriki scheduled 10/26-10/30,General,,,
Montana Rural Voters Action Fund,09/27/2019 to 10/25/2019,C6,10/29/19,FACEBOOK,,,,1 HACKER WAY,MENLO PARK,CA,94025,,Debts and Loans Not Yet Paid,54.28,Estimated Expense - Facebook ad in support of Shaw scheduled 10/26-10/30,General,,,
Montana Rural Voters Action Fund,09/27/2019 to 10/25/2019,C6,10/15/19,Mailing Technical Services,,,,850 S 27th Street,Billings,MT,59101,,Debts and Loans Not Yet Paid,1139.06,Estimated Mailing Expenses - 6x11 mailers in support of Dominguez,General,,,
Montana Rural Voters Action Fund,09/27/2019 to 10/25/2019,C6,10/15/19,Mailing Technical Services,,,,850 S 27th Street,Billings,MT,59101,,Debts and Loans Not Yet Paid,792.39,Estimated Mailing Expenses - 6x11 mailers in support of Choriki,General,,,
Montana Rural Voters Action Fund,09/27/2019 to 10/25/2019,C6,10/15/19,Mailing Technical Services,,,,850 S 27th Street,Billings,MT,59101,,Debts and Loans Not Yet Paid,544.78,Estimated Mailing Costs for 6x11 mailers in support of Shaw,General,,,
Montana Rural Voters Action Fund,09/27/2019 to 10/25/2019,C6,10/25/19,Northern Plains Resource Council,,,,"220 S. 27th Street, Suite A",Billings,MT,59101,,Debts and Loans Not Yet Paid,5709.79,Estimated Expenses - Canvassing in support of Dominguez - 8 people 331.5 hours 10/6-10/25,General,,,
Montana Rural Voters Action Fund,09/27/2019 to 10/25/2019,C6,10/25/19,Northern Plains Resource Council,,,,"220 S. 27th Street, Suite A",Billings,MT,59101,,Debts and Loans Not Yet Paid,2101.34,Estimated Expenses - Canvassing in support of Danny Choriki - 6 staff 122 hrs 10/2-10/7 &b 10/29-10/30,General,,,
Montana Rural Voters Action Fund,09/27/2019 to 10/25/2019,C6,10/25/19,Northern Plains Resource Council,,,,"220 S. 27th Street, Suite A",Billings,MT,59101,,Debts and Loans Not Yet Paid,55.98,Estimated Expenses - endorsement & designing ad in support of Mike Boyett,General,,,
Montana Rural Voters Action Fund,09/27/2019 to 10/25/2019,C6,10/25/19,Northern Plains Resource Council,,,,"220 S. 27th Street, Suite A",Billings,MT,59101,,Debts and Loans Not Yet Paid,1830.06,Estimated Expenses - Canvassing in support of Shaw - 7 people for 106 hours total 10/12-10/18,General,,,
Montana Rural Voters Action Fund,09/27/2019 to 10/25/2019,C6,10/25/19,Northern Plains Resource Council,,,,"220 S. 27th Street, Suite A",Billings,MT,59101,,Debts and Loans Not Yet Paid,2116.25,"Estimated Expenses - administrative time for budgeting/scheduling/planning, occupancy, and telecom for October",General,,,
Montana Rural Voters Action Fund,09/27/2019 to 10/25/2019,C6,10/04/19,Strange Sister Creative,,,,550 Park Lane,Billings,MT,59102,,Debts and Loans Not Yet Paid,400.0,"Estimated Expenses - Designing 6x11 mailers in support of Shaw, Dominguez & Choriki",General,,,
Montana Rural Voters Action Fund,09/27/2019 to 10/25/2019,C6,10/15/19,Northern Plains Resource Council,,,,"220 S. 27th Street, Suite A",Billings,MT,59101,,Debt and Loan Payment,2787.04,,General,,,
Montana Rural Voters Action Fund,09/27/2019 to 10/25/2019,C6,10/15/19,Northern Plains Resource Council,,,,"220 S. 27th Street, Suite A",Billings,MT,59101,,Debt and Loan Payment,1277.71,,General,,,
Montana Rural Voters Action Fund,09/27/2019 to 10/25/2019,C6,10/15/19,Northern Plains Resource Council,,,,"220 S. 27th Street, Suite A",Billings,MT,59101,,Debt and Loan Payment,74.45,,General,,,
Montana Rural Voters Action Fund,09/27/2019 to 10/25/2019,C6,10/15/19,Northern Plains Resource Council,,,,"220 S. 27th Street, Suite A",Billings,MT,59101,,Debt and Loan Payment,521.11,,Primary,,,
Montana Rural Voters Action Fund,09/27/2019 to 10/25/2019,C6,10/15/19,Northern Plains Resource Council,,,,"220 S. 27th Street, Suite A",Billings,MT,59101,,Debt and Loan Payment,1944.88,,General,,,
Montana Rural Voters Action Fund,08/25/2019 to 09/25/2019,C6,09/23/19,Northern Plains Resource Council,,,,"220 S. 27th Street, Suite A",Billings,MT,59101,,All Other Expenditures,717.24,"Administrative staffing, occupancy, phone, internet - August 2019",Primary,,,
Montana Rural Voters Action Fund,08/25/2019 to 09/25/2019,C6,09/24/19,Paypal,,,,2211 N. First Street,San Jose,CA,95110,,All Other Expenditures,1.32,PayPal Transaction Fees,Primary,,,
