Candidate,Reporting Period,Report Type,Date Paid,Entity Name,First Name,Middle Initial,Last Name,Addr Line1,City,State,Zip,Zip4,Expenditure Type,Amount,Purpose,Election Type,Expenditure Paid Communications Platform,Expenditure Paid Communications Quantity,Expenditure Paid Communications Subject Matter
Coalition 406,07/01/2019 to 10/05/2019,C6,09/30/19,Intrepid Credit Union,,,,915 Kessler St,Helena,MT,59601,,All Other Expenditures,2.5,Service Charge for Campaign Account,General,,,
Coalition 406,07/01/2019 to 10/05/2019,C6,09/30/19,Intrepid Credit Union,,,,915 Kessler St,Helena,MT,59601,,All Other Expenditures,4.0,Fee for checks,General,,,
Coalition 406,07/01/2019 to 10/05/2019,C6,07/05/19,Intrepid Credit Union,,,,915 Kessler St,Helena,MT,59601,,All Other Expenditures,20.0,service charge for wire transfer,General,,,
Coalition 406,07/01/2019 to 10/05/2019,C6,07/25/19,Intrepid Credit Union,,,,915 Kessler St,Helena,MT,59601,,All Other Expenditures,20.0,service charge for wire transfer,General,,,
Coalition 406,07/01/2019 to 10/05/2019,C6,07/31/19,Intrepid Credit Union,,,,915 Kessler St,Helena,MT,59601,,All Other Expenditures,2.5,Service Charge for Campaign Account,General,,,
Coalition 406,07/01/2019 to 10/05/2019,C6,08/02/19,Intrepid Credit Union,,,,915 Kessler St,Helena,MT,59601,,All Other Expenditures,8.0,fee for check,General,,,
Coalition 406,07/01/2019 to 10/05/2019,C6,08/31/19,Intrepid Credit Union,,,,915 Kessler St,Helena,MT,59601,,All Other Expenditures,2.5,Service Charge for Campaign Account,General,,,
Coalition 406,07/01/2019 to 10/05/2019,C6,07/12/19,"Miles, Anita",,,,802 S Montana,Miles City,MT,59301,,All Other Expenditures,300.0,filing financial report,General,,,
Coalition 406,07/01/2019 to 10/05/2019,C6,10/04/19,"Miles, Anita",,,,802 S Montana,Miles City,MT,59301,,All Other Expenditures,140.04,filing financial report,General,,,
Coalition 406,07/01/2019 to 10/05/2019,C6,09/30/19,Parking,,,,225 Cruse Ave. Suite C,Helena,MT,59601,,All Other Expenditures,120.0,Parking (downtown Helena),General,,,
Coalition 406,07/01/2019 to 10/05/2019,C6,08/20/19,Safeway,,,,Prospect Ave,Helena,MT,59601,,All Other Expenditures,98.25,"Meeting supplies, paper goods and food",General,,,
Coalition 406,04/02/2019 to 06/30/2019,C6,06/30/19,ActBlue ,,,,Online,Great Falls,MT,59405,,All Other Expenditures,31.12,3.95% Interest Rate on ActBlue Contributions ,General,,,
Coalition 406,04/02/2019 to 06/30/2019,C6,06/24/19,Allegra,,,,123 Last Chance Gulch,Helena,MT,59601,,All Other Expenditures,75.0,Copies,General,,,
Coalition 406,04/02/2019 to 06/30/2019,C6,06/30/19,FACEBOOK,,,,1 Facebook Way,MENLO PARK,CA,,,All Other Expenditures,218.5,Facebook Ads,General,,,
Coalition 406,04/02/2019 to 06/30/2019,C6,06/24/19,"Inside MT, LLC",,,,220 2nd Ave,Laurel,MT,59044,,All Other Expenditures,300.0,IT work,General,,,
Coalition 406,04/02/2019 to 06/30/2019,C6,06/03/19,"Inside MT, LLC",,,,220 2nd Ave,Laurel,MT,59044,,All Other Expenditures,150.0,IT work,General,,,
Coalition 406,04/02/2019 to 06/30/2019,C6,06/28/19,Intrepid Credit Union,,,,915 Kessler St,Helena,MT,59601,,All Other Expenditures,2.5,Service Charge,General,,,
Coalition 406,04/02/2019 to 06/30/2019,C6,05/31/19,Intrepid Credit Union,,,,915 Kessler St,Helena,MT,59601,,All Other Expenditures,2.5,Service Charge,General,,,
Coalition 406,04/02/2019 to 06/30/2019,C6,04/04/19,Intrepid Credit Union,,,,915 Kessler St,Helena,MT,59601,,All Other Expenditures,20.0,transfer to credit union for membership savings account,General,,,
Coalition 406,04/02/2019 to 06/30/2019,C6,06/07/19,PayPal,,,,2221 N 1st St,San Jose,CA,95131,,All Other Expenditures,0.25,Service Charge,General,,,
Coalition 406,04/02/2019 to 06/30/2019,C6,06/25/19,Placer Downtown,,,,21 North Last Chance Gulch,Helena,MT,59601,,All Other Expenditures,35.0,rent for meeting space,General,,,
Coalition 406,04/02/2019 to 06/30/2019,C6,06/27/19,Safeway,,,,Prospect Ave,Helena,MT,59601,,All Other Expenditures,243.05,"food, beverages, and paper products for meeting",General,,,
Coalition 406,04/02/2019 to 06/30/2019,C6,06/20/19,Safeway,,,,Prospect Ave,Helena,MT,59601,,All Other Expenditures,22.65,meeting food and beverages,General,,,
Coalition 406,04/02/2019 to 06/30/2019,C6,06/18/19,textmagic,,,,548 Market St #27442,San Francosco,CA,94104,,All Other Expenditures,10.0,Text Messaging Services,General,,,
Coalition 406,04/02/2019 to 06/30/2019,C6,06/10/19,textmagic,,,,548 Market St #27442,San Francosco,CA,94104,,All Other Expenditures,20.0,Text Messaging Services,General,,,
Coalition 406,04/02/2019 to 06/30/2019,C6,06/28/19,textmagic,,,,548 Market St #27442,San Francosco,CA,94104,,All Other Expenditures,20.0,Text Messaging Services,General,,,
Coalition 406,04/02/2019 to 06/30/2019,C6,06/14/19,textmagic,,,,548 Market St #27442,San Francosco,CA,94104,,All Other Expenditures,20.0,Text Messaging Services,General,,,
Committee to Organize a Community College and Pass a Supporting Mill Levy,04/21/2020 to 06/08/2020,C6,06/08/20,Facebook,,,,1601 Willow Rd,Menlo Park,CA,94025,,All Other Expenditures,149.94,Facebook boost the post ad,Primary,Facebook boost the post ad,"ad ran April 23, 2020 through May 1, 2020",Encouraging people to vote for the community college and the mill levy to support it.
Committee to Organize a Community College and Pass a Supporting Mill Levy,04/21/2020 to 06/08/2020,C6,04/24/20,Facebook,,,,1 Facebook Way ,Menlo Park,CA,94025,,All Other Expenditures,125.0,Facebook ad to boost the post,Primary,Facebook,April 17-23 2020 boosted a post: ,vote for Bitterroot Valley Community College
Committee to Organize a Community College and Pass a Supporting Mill Levy,04/21/2020 to 06/08/2020,C6,06/08/20,"Lubansky, Kathleen",,,,442 N Gold Creek Loop,Hamilton,MT,59840,,All Other Expenditures,543.64,refund portion of last contribution not needed,Primary,,,
Committee to Organize a Community College and Pass a Supporting Mill Levy,04/21/2020 to 06/08/2020,C6,04/29/20,Townsquare Media 1240am,,,,3250 S Reserve St,Missoula,MT,59801,,All Other Expenditures,500.0,Radio advertising spots to promote the Bitterroot Valley Community College ,Primary,1240 KLYQ Radio advertising,"45 radio ad spots total; April 24th through May 1, 2020, plus station banner ad ",Encourage voters to support the establishment of an independent community college and support the financial levy required by Montana law.
Committee to Organize a Community College and Pass a Supporting Mill Levy,08/14/2019 to 04/20/2020,C6,03/31/20,Advanced Litho Printing,,,,1702 Rankin,Missoula,MT,59808,,All Other Expenditures,4624.0,"printing in color of saturation mailer of 22,000 postcards",Primary,5.5 x 8.5 postcards,"22,000 postcards","Vote for Bitterroot Valley Community College and three testimonials from a former student, a professor, and a local businessman"
Committee to Organize a Community College and Pass a Supporting Mill Levy,08/14/2019 to 04/20/2020,C6,04/03/20,Bitterroot Sign Company,,,,1042 Coal Pit Rd,corvallis,MT,59828,,All Other Expenditures,1475.0,20 large campaign signs and 20 campaign signs grommeted at the corners,Primary,48 x 64 inch double sided campaign signs and smaller banners with grommets in corners,"20 large signs, 20 banners with grommets in corners","Vote for Bitterroot Valley Community College, election May 5, your college, your community "
Committee to Organize a Community College and Pass a Supporting Mill Levy,08/14/2019 to 04/20/2020,C6,04/20/20,Facebook,,,,1601 Willow Rd,Menlo Park,CA,94025,,All Other Expenditures,75.0,Boost the post on Facebook: Vote for the Bitterroot Valley Community College ,Primary,Facebook,Post boosted 4/10/20-4/17/20 with copy of newspaper ad encouraging support for the Bitterroot Valley Community College.,Vote for the Bitterroot Valley Community College and a levy to support it.
Committee to Organize a Community College and Pass a Supporting Mill Levy,08/14/2019 to 04/20/2020,C6,04/07/20,Facebook,,,,1601 Willow Rd,Menlo Park,CA,94025,,All Other Expenditures,25.76,Facebook post boosted 4/3/2020-4-6/2020; Ravalli County being shortchanged by University system,Primary,Facebook,4/3/2020-4/6/2020,Post boosted link to letter to the editor of the Ravalli Republic; Ravalli County being shortchanged by University system
Committee to Organize a Community College and Pass a Supporting Mill Levy,08/14/2019 to 04/20/2020,C6,04/07/20,Facebook,,,,1601 Willow Rd,Menlo Park,CA,94025,,All Other Expenditures,9.24,Facebook post boosted 4/3/2020-4/6/2020; vote for Bitterroot Valley Community College,Primary,Facebook,4/3/2020-4/6/2020,Vote for Bitterroot Valley Community College
Committee to Organize a Community College and Pass a Supporting Mill Levy,08/14/2019 to 04/20/2020,C6,04/10/20,Facebook,,,,1601 Willow Rd,Menlo Park,CA,94025,,All Other Expenditures,4.96,Facebook post boosted 4/6/2020-4/8/2020; Ravalli County being shortchanged by University System,Primary,Facebook,4/6/2020-4/8/2020,Post boosted link to letter to the editor of the Ravalli Republic; Ravalli County being shortchanged by University system
Committee to Organize a Community College and Pass a Supporting Mill Levy,08/14/2019 to 04/20/2020,C6,04/10/20,Facebook,,,,1601 Willow Rd,Menlo Park,CA,94025,,All Other Expenditures,6.85,Facebook post boosted 4/6/2020-4/8/2020; vote for Bitterroot Valley Community College,Primary,Facebook,4/6/2020-4/8/2020,Vote for Bitterroot Valley Community College
Committee to Organize a Community College and Pass a Supporting Mill Levy,08/14/2019 to 04/20/2020,C6,04/13/20,Facebook,,,,1601 Willow Rd,Menlo Park,CA,94025,,All Other Expenditures,50.0,Facebook post boosted 4/9/2020-4/11/2020; vote for Bitterroot Valley Community College,Primary,Facebook,4/9/2020-4/11/2020,Vote for the Bitterroot Valley Community College 
Committee to Organize a Community College and Pass a Supporting Mill Levy,08/14/2019 to 04/20/2020,C6,03/30/20,Facebook,,,,1601 Willow Rd,Menlo Park,CA,94025,,All Other Expenditures,25.0,"Facebook post boosted 3/24/2020-3/27/2020, vote for Bitterroot Valley Community College",Primary,Facebook,3/34/2020-3/27/2020,Post that was boosted was the same image as the yard signs; Vote for Bitterroot Valley Community College in red and white 
Committee to Organize a Community College and Pass a Supporting Mill Levy,08/14/2019 to 04/20/2020,C6,04/06/20,Facebook,,,,1601 Willow Rd,Menlo Park,CA,94025,,All Other Expenditures,7.28,Facebook post boosted 3/27/2020-4/3/2020; Ravalli County being shortchanged by University System,Primary,Facebook,3/27/2020-4/3/2020,Post boosted link to letter to the editor of the Ravalli Republic; Ravalli County being shortchanged by University system
Committee to Organize a Community College and Pass a Supporting Mill Levy,08/14/2019 to 04/20/2020,C6,04/06/20,Facebook,,,,1601 Willow Rd,Menlo Park,CA,94025,,All Other Expenditures,17.72,Facebook post boosted 3/27/2020-4/3/2020; vote for Bitterroot Valley Community College,Primary,Facebook,3/27/2020-4/3/2020,Vote for Bitterroot Valley Community College
Committee to Organize a Community College and Pass a Supporting Mill Levy,08/14/2019 to 04/20/2020,C6,04/02/20,Keep It Local,,,,PO Box 215,Hamilton,MT,59840,,All Other Expenditures,300.0,"4 x 6 inch ad in spring ""Keep It Local"" booklet ",Primary,Physical ad in booklet that is mailed to all postal customers in the Bitterroot Valley,"4 x 6 inch, half page print ad",Vote for Bitterroot Valley Community College in red and white
Committee to Organize a Community College and Pass a Supporting Mill Levy,08/14/2019 to 04/20/2020,C6,03/23/20,SIGNS.COM,,,,1550  SOUTH GLADIOLA ST,SALT LAKE CITY,UT,84104,,All Other Expenditures,556.84,100 double sided yard signs and stakes,Primary,18 x 24 inch plastic corrugated red and white signs,100 yard signs and stakes,Vote for Bitterroot Valley Community College
Committee to Organize a Community College and Pass a Supporting Mill Levy,08/14/2019 to 04/20/2020,C6,03/05/20,SIGNS.COM,,,,1550  SOUTH GLADIOLA ST,SALT LAKE CITY,UT,84104,,All Other Expenditures,556.84,100 double sided yard signs and stakes,Primary,24 x 18 inch corrugated plastic yard signs ,100 yard signs and stakes,Vote for Bitterroot Valley Community College  
Committee to Organize a Community College and Pass a Supporting Mill Levy,08/14/2019 to 04/20/2020,C6,04/08/20,Towne Mailer,,,,2424 Garfield,Missoula,MT,59801,,All Other Expenditures,4270.93,"bulk mail postage and handling for 22,000 saturation postcards, to promote college election",Primary,bulk mailing expense for printed 5 1/2 inch by 8 1/2 inch postcards,"22,000 saturation mailer ","Vote for Bitterroot Valley Community College, three testimonials from a former student, a professor, and a local businessman"
Consulting Engineers Council of Montana / American Council of Engineering Companies of MT,04/26/2020 to 05/25/2020,C4,05/04/20,FOR OUR ROADS,,,,1776 RIVER ROAD,MISSOULA,MT,59801,,All Other Expenditures,2500.0,"Contribution to ""For Our Roads"" for education efforts pertaining to Missoula County fuel tax ballot issue.",General,,,
Consulting Engineers Council of Montana / American Council of Engineering Companies of MT,04/26/2020 to 05/25/2020,C4,05/04/20,FOR OUR ROADS,,,,1776 RIVER ROAD,MISSOULA,MT,59801,,All Other Expenditures,2500.0,"Support fuel tax polling effort.  Pledged $2500 to support polling in early 2020.  Received invoice for polling effort on May 1, 2020",Primary,,,
DRAE's Station Casino,12/06/2019 to 12/31/2019,C4,12/06/19,Montana First Action,,,,PO Box 6404,Helena,MT,59604,,All Other Expenditures,500.0,To Support Conservative Candidates and Causes,Primary,,,
EXPOPARK FOR ALL,03/26/2020 to 04/25/2020,C6,04/09/20,"Albaugh, Karen",,,,4585 Coleman St,Bismark,SD,58503,,All Other Expenditures,826.0,Refund of unused contribution.  Committee closed/finalized with no further action.,General,,,
Everytown for Gun Safety Action Fund,05/25/2020 to 06/25/2020,C4,06/25/20,"Gold, David",,,,PO Box 4184,New York,NY,10163,,All Other Expenditures,225.0,Staff time; 4.5 hours; 5/25/2020 - 6/25/2020; related to Ballot Measure LR 130 strategy planning (In-kind contribution to NO on LR130),General,,,
Everytown for Gun Safety Action Fund,05/25/2020 to 06/25/2020,C4,06/25/20,"Slaughter, Jeremy",,,,PO Box 4184,New York,NY,10163,,All Other Expenditures,188.9,"Staff time; 5 hours; 5/25/2020 - 6/25/2020; related to Ballot Measure LR 130 strategy planning (In-kind contribution to NO on LR130)
",General,,,
Everytown for Gun Safety Action Fund,04/26/2020 to 05/24/2020,C4,05/24/20,"Gold, David",,,,PO Box 4184,New York,NY,10163,,All Other Expenditures,300.0,Staff time; 6 hours; 4/26/2020 - 5/24/2020; related to Ballot Measure LR 130 strategy planning (In-kind contribution to NO on LR130),General,,,
Everytown for Gun Safety Action Fund,04/26/2020 to 05/24/2020,C4,05/07/20,"M&R Strategic Services, Inc.",,,,1101 Connecticut Ave NW,Washington,DC,20036,,All Other Expenditures,6750.0,Consulting services related to LR 130 (In-kind contribution to NO on LR130),General,,,
Everytown for Gun Safety Action Fund,04/26/2020 to 05/24/2020,C4,04/30/20,"M&R Strategic Services, Inc.",,,,1101 Connecticut Ave NW,Washington DC,DC,20036,,All Other Expenditures,6750.0,Consulting services related to LR 130 (In-kind contribution to NO on LR130),General,,,
Everytown for Gun Safety Action Fund,04/26/2020 to 05/24/2020,C4,04/30/20,"M&R Strategic Services, Inc.",,,,1101 Connecticut Ave NW,Washington DC,DC,20036,,All Other Expenditures,6750.0,Consulting services related to LR 130 (In-kind contribution to NO on LR130),General,,,
Everytown for Gun Safety Action Fund,04/26/2020 to 05/24/2020,C4,05/07/20,"M&R Strategic Services, Inc.",,,,1101 Connecticut Ave NW,Washington DC,DC,20036,,All Other Expenditures,6750.0,Consulting services related to LR 130 (In-kind contribution to NO on LR130),General,,,
Everytown for Gun Safety Action Fund,04/26/2020 to 05/24/2020,C4,05/24/20,"Slaughter, Jeremy",,,,PO Box 4184,New York,NY,10163,,All Other Expenditures,188.9,"Staff time; 5 hours; 4/26/2020 - 5/24/2020; related to Ballot Measure LR 130 strategy planning (In-kind contribution to NO on LR130)
",General,,,
Everytown for Gun Safety Action Fund,04/26/2020 to 05/24/2020,C4,05/24/20,"Walton, Emily",,,,PO Box 4184,New York,NY,10163,,All Other Expenditures,150.94,"Staff time; 2 hours; 4/26/2020 - 5/24/2020; related to Ballot Measure LR 130 strategy planning (In-kind contribution to NO on LR130)
",General,,,
Everytown for Gun Safety Action Fund,03/26/2020 to 04/25/2020,C4,04/25/20,"Arthur, Everett",,,,PO Box 4184,New York,NY,10163,,All Other Expenditures,362.76,Staff time; 6 hours; 3/26/2020 - 4/25/2020; related to Ballot Measure LR 130 strategy planning (In-kind contribution to NO on LR130),General,,,
Everytown for Gun Safety Action Fund,03/26/2020 to 04/25/2020,C4,04/25/20,"Gold, David ",,,,PO Box 4184,New York,NY,10163,,All Other Expenditures,400.0,Staff time; 8 hours; 3/26/2020 - 4/25/2020; related to Ballot Measure LR 130 strategy planning (In-kind contribution to NO on LR130),General,,,
Everytown for Gun Safety Action Fund,03/26/2020 to 04/25/2020,C4,04/25/20,"Howard, Sara",,,,PO Box 4184,New York,NY,10163,,All Other Expenditures,1006.7,Staff time; 10 hours; 3/26/2020 - 4/25/2020; related to Ballot Measure LR 130 strategy planning (In-kind contribution to NO on LR130),General,,,
Everytown for Gun Safety Action Fund,03/26/2020 to 04/25/2020,C4,04/25/20,"Slaughter, Jeremy",,,,PO Box 4184,New York,NY,10163,,All Other Expenditures,226.68,Staff time; 6 hours; 3/26/2020 - 4/25/2020; related to Ballot Measure LR 130 strategy planning (In-kind contribution to NO on LR130),General,,,
Everytown for Gun Safety Action Fund,03/26/2020 to 04/25/2020,C4,04/25/20,"Walton, Emily",,,,PO Box 4184,New York,NY,10163,,All Other Expenditures,415.09,Staff time; 5.5 hours; 3/26/2020 - 4/25/2020; related to Ballot Measure LR 130 strategy planning (In-kind contribution to NO on LR130),General,,,
Everytown for Gun Safety Action Fund,01/01/2020 to 03/25/2020,C4,03/25/20,"Arthur, Everett",,,,PO Box 4184,New York,NY,10163,,All Other Expenditures,907.05,Staff time; 15 hours;  1/1/2020 -3/25/2020; related to Ballot Measure LR 130 strategy planning (In-kind contribution to NO on LR130),General,,,
Everytown for Gun Safety Action Fund,01/01/2020 to 03/25/2020,C4,03/25/20,"Howard, Sara",,,,PO Box 4184,New York,NY,10163,,All Other Expenditures,4228.14,"Staff time; 42 hours;  1/1/2020 -3/25/2020; related to Ballot Measure LR 130 strategy planning (In-kind contribution to NO on LR130)
",General,,,
Everytown for Gun Safety Action Fund,01/01/2020 to 03/25/2020,C4,03/25/20,"Nikodem, Lisa",,,,PO Box 4184,New York,NY,10163,,All Other Expenditures,94.43,Staff time; 1.5 hours;  1/1/2020 -3/25/2020; related to Ballot Measure LR 130 strategy planning (In-kind contribution to NO on LR130),General,,,
Everytown for Gun Safety Action Fund,01/01/2020 to 03/25/2020,C4,03/25/20,"Wilhite, Stacee",,,,PO Box 10163,New York,NY,10163,,All Other Expenditures,427.56,Staff time; 12 hours;  1/1/2020 -3/25/2020; related to Ballot Measure LR 130 strategy planning (In-kind contribution to NO on LR130),General,,,
Everytown for Gun Safety Action Fund,10/01/2019 to 12/31/2019,C4,12/31/19,"Arthur, Everett",,,,PO Box 4184,New York,NY,10163,,All Other Expenditures,544.23,Staff time; 9 hours; 10/01/2019 - 12/31/2019; related to Ballot Measure LR 130 strategy planning,General,,,
