committee,cers_id,reports,type,amended_date,last_report,city,state,officer_1,officer_2,positions,2020_expenditures,num_2020_expenditures,2020_contributions,num_2020_contributions,cash_on_hand
Montana Dental PAC,1913,18,Independent,03/30/20,NA,Helena,MT,"Smith, John E",,"Support: ron ehli, Support: bryce bennett, Other: mike cuffe, Support: donald roberts, Support: keith regier, Support: nate mcconnell, Other: kelly mccarthy, Other: dee brown, Support: jonathon windy boy, Support: janet ellis, Other: kimberly p. dudik, Support: nancy ballance, Support: darrold hutchinson, Other: rob cook, Support: gene vuckovich, Other: david ""doc"" moore, Other: fred thomas, Support: zac perry, Support: don bartel, Support: willis curdy, Other: dick barrett, Support: jim keane, Support: austin knudsen, Support: jeff essmann, Other: Steve Bullock - Governor, Other: brad tschida, Support: jon sesso, Support: jeff wellborn, Support: dennis lenz, Support: roger webb, Support: moffie funk , Support: frank garner, Support: ellie hill smith, Support: steve lavin, Support: jenny eck, Support: kirk b. waggonner ",12487.64,31,5600.0,102,9720.39
Gallatin Valley Land Trust,6860,3,Incidental,06/26/18,NA,Bozeman,MT,"Price, Will",,Support: Gallatin County Open Space Bond,0.0,0,0.0,0,-70122.34
Granite County Democratic Central Cmte.,268,15,Political Party,07/24/18,NA,Drummond,MT,"DAVIS, Judith D",,,412.5,5,1400.0,7,1761.88
City of Bozeman,7419,4,Incidental,11/21/18,NA,Bozeman,MT,"LaMeres, Brian",,Other: Inform public of impact of passage or failure of Bozeman Public Safety Center ballot issue on City operations,0.0,0,0.0,0,-44246.79
Helena Citizens for Integrity,7226,7,Independent,05/14/18,NA,Helena,MT,"Twardoski, Timothy G",,"Support: HD 81 Robert Farris-Olsen, Oppose: HD 81 Candidate Mary Caffero",0.0,0,0.0,0,570.0
FRIENDS OF HELLGATE ELEMENTARY,5717,3,Ballot Issue,01/09/17,NA,Missoula,MT,"Duffy, Shawna L","Maloney, Anne C",,0.0,0,0.0,0,5367.0
Montana Rural Voters Action Fund,8027,9,Independent,06/30/20,NA,Billings,MT,"Gulick, Ed","Berg, Paula","Support: Margaret (Margie) MacDonald for State Senate, Support: Bill Berg for Commissioner, Support: Dave Fern for State House, Support: Jessica Karjala for State House, Support: Kim Abbott for State House, Support: Mary Ann Dunwell for State House, Support: Moffie Funk for State House, Support: Barbara Bessette for State House, Support: Jen Gross for State Senate, Support: Jasmine Krotkov for State House, Support: Edie McClafferty for State Senate, Support: Ellie Hill for State Senate, Support: Laurie Bishop for State House, Support: Rae Peppers for State Senate, Support: Betsy Scanlin for State House, Support: Connie Keogh for State House, Support:  Emma Kerr-Carpenter for State House, Support: Marilyn Marler for State House",61631.99,71,50250.0,66,10441.79
Pondera County Democratic Central Cmte.,307,13,Political Party,06/25/20,NA,Conrad,MT,"Holst, Lida A",,Support: To facillitate the County Central Cmte business and work to elect Democratic Candidates,688.42,8,-1369.05,11,2456.52
InterMountain Campaign Coalition,6328,1,Independent,10/24/17,NA,Bozeman,MT,"Merecki, Jennifer A",,"Oppose: jeff essmann, Other: To support local, state and federal candidates running for office in Montana",0.0,0,0.0,0,67.3
BNSF Railway Company,7469,2,Incidental,08/29/18,NA,Fort Worth,TX,"Lund, Roberta","Alt, Michelle",,0.0,0,0.0,0,-5000.0
BackPAC-Montana Chiropractic Assn.,359,12,Independent,03/30/20,NA,Billings,MT,"Griffin, Brad","Welker, Michael",,3361.35,7,0.0,0,15869.44
Tri-County Implement Inc,6936,1,Incidental,04/04/18,NA,Sidney,MT,"Christensen, Tami",,Support: Support business friendly candidates for office in legislature,0.0,0,0.0,0,-3000.0
Montanans for a True Democrat Club,1915,1,Independent,11/13/14,NA,Helena,MT,"Gregor, Glenn","Fenderson, Gene",,0.0,0,0.0,0,0.0
"Taylor Luther Group, PLLC",7533,5,Incidental,11/26/18,NA,Helena,MT,"Luther, Jessie",,"Support: 6 Mill Levy, Support: I-185, Support: Business PAC",0.0,0,0.0,0,-28000.0
Tourtlotte Law Firm,5641,6,Incidental,11/28/16,NA,Billings,MT,"Tourtlotte, Matthew","Taylor, Mary","Other: Contributions are not earmarked for any specific candidates or ballot issues., Support: Dirk Sandefur - Supreme Court, Support: To make contributions to independent committees for independent expenditures for candidates and issues that impact the civil justice system. ",0.0,0,0.0,0,-2000.0
American Lung Association,7063,10,Incidental,11/21/18,NA,Chicago,IL,"Merchant, Robert","Scott, Laura",Support: I-185 on 2018 ballot,0.0,0,0.0,0,13646.0
Montana Action Committee,2224,28,Independent,10/24/18,NA,Helena,MT,"Morrison, John",,,0.0,0,0.0,0,337.0
Montana Employees Of Centurylink Pac Was Montana Employees Of Qwest Pac,439,7,Independent,01/30/18,NA,Helena,MT,"Glueckert, Rochelle","Glueckert, Rochelle","Other: For furthering the Election or Defeat of candidates for public office., Other: Various",0.0,0,0.0,0,4650.74
PayneWest Insurance,6934,1,Incidental,02/21/18,NA,Missoula,MT,"Carver, Mindy L",,Support: Donation in support of the 6-mill levy,0.0,0,0.0,0,-10000.0
Anderson Law Firm,5564,8,Incidental,11/28/16,NA,Great Falls,MT,"Anderson, Lawrence A.","Taylor, Mary","Support: To make contributions to independent committees for independent expenditures for candidates and issues that impact the civil justice system., Other: Contributions are not earmarked for any specific candidates or ballot issues., Support: Dirk Sandefur - Supreme Court",0.0,0,0.0,0,-11778.74
Montana Conservative Coalition PAC,2406,10,Independent,01/26/18,NA,Billings,MT,"Smith, Wendy",,,0.0,0,0.0,0,0.0
williamsworks Inc.,8411,1,Incidental,03/10/20,NA,Missoula,MT,"Martin, Colleen",,Support: Montana Democratic Party,0.0,0,1000.0,2,1000.0
Idaho Forest Group 2020 Incidental Committee,8706,1,Incidental,04/20/20,NA,St. Regis,MT,"Ehlert, Andy","Luther, Jessie",Other: made contribution to MT Business PAC,5000.0,1,0.0,0,-5000.0
Big Sky Central Labor Council Cope,1896,1,Independent,02/11/16,NA,Helena,MT,"Reardon, Jay","Nielsen, Larry",Other: Labor and Employment issues,0.0,0,0.0,0,0.0
"American Rivers, Inc.",7265,8,Incidental,05/18/18,NA,WASHINGTON,DC,"May, Kristin","Bosse, Scott",Support: I-186,0.0,0,0.0,0,-116883.0
Jobs For Montana PAC,1910,23,Independent,02/04/20,NA,Helena,MT,"Kuney, Lorna","Denowh, Charles","Support: Promote candidates that support the creation of a better business climate and strong Montana economy., Support: Ross Fitzgerald HD 17, Support: Bruce Grubbs for HD68, Support: Doug Kary for SD 22, Support: Rob Cook for PSC, Support: Denley Loge for HD 14, Support: Wendy McKamey for HD19, Support: Pat Connell SD 43, Support: Frank Garner HD 07, Support: Ed Buttrey for HD 21, Support: Brian Hoven SD 13, Support: John Esp SD 30",24317.33,4,22500.0,7,1731.67
Lake County Pachyderm Club,2692,2,Disbanded Montana Party,06/21/16,NA,Polson,MT,"Milheim, Irvine",,,0.0,0,0.0,0,4049.01
Forward Montana,6420,3,Incidental,11/16/17,NA,Missoula,MT,"Matt, Kelly","Rachel, Huff-Doria",Other: Annual Voter Guide,0.0,0,0.0,0,-406.31
Montana Indian Democrats Council,6089,4,Independent,01/30/20,NA,Helena,MT,"Jette, Mark",,,0.0,0,0.0,0,0.0
"Charter Communications, Inc Montana Pac",3024,30,Independent,11/17/16,NA,Billings,MT,"Roehr, Mary","Cancienne, Paul","Support: Seth Berglee for HD58, Support: Bradley Tschida for HD 97, Support: Jim Keane for HD73, Support: Nancy Ballance for HD87, Support: Nate McConnell for HD89, Support: Mike Cuffe for HD 2, Support: Wendy McKamey for HD19, Support: Steve Gunderson for HD 1, Support: Carl Glimm for House, Support: Carolyn Pease-Lopez for SD21, Support: Daniel Zolnikov for HD45, Support: Peggy Webb HD43, Support: Margie MacDonald for SD 26, Support: Bryce Bennett for House District 91, Support: Keith Regier for SD 3, Support: Walt Sales for HD 69, Support: Janet Ellis for HD 59, Support: Ellie Hill Smith for HD 90, Support: Democratic Womens Caucus, Support: Vince Ricci for HD55, Support: Scott Staffanson for HD35, Support: Donald W Jones HD46, Support: Montana Republican State Central Committee, Support: Willis Curdy for HD98, Support: Sharon Peregoy for HD42, Support: Roger Webb for SD23, Support: George Kipp for HD15, Support: Virginia Court for HD 50, Support: Mike Lang for SD 17, Support: Alan Redfield for HD 59, Support: Tim Fox for Attorney General, Support: Ray Shaw for HD71, Support: Montana Democratic Party MDLCC, Support: Matt Regier for HD4, Support: Scott Sales for SD 35, Support: Tom Welch HD72, Support: Randy Brodehl for HD 9, Support: Jonathan Windy Boy HD32, Support: Bruce Grubbs for HD68, Support: Dee Brown for SD2, Support: Bradley Hamlett for House District 23, Support: Kerry White for HD 64, Support: Steve Gibson for HD84, Support: Zac Perry for HD3, Support: Kathy Kelker HD 47, Support: Stephanie Hess for HD28, Support: Gene Vuckovich SD39, Support: Daniel Salomon for SD47, Support: Montana Democratic Party, Support: Debra Lamm for HD 60, Support: Jon Sesso for SD37, Support: Scott Sales for SD 35, Support: MT Federation of Republican Women, Support: Tim Fox for Attorney General, Support: Tom Woods for HD 62, Support: Dennis Lenz for HD 53, Support: Bridget Smith for HD31, Support: Alan Doane for HD36, Support: Andrea Olsen for HD 100, Support: Ryan Osmundson for SD 15, Support: Tom Jacobson for HD21, Support: Geraldine Custer for HD39, Support: Gordon Pierson for HD 78, Support: Patricia Rae Peppers for HD41, Support: Andrew Person for HD96, Support: Robyn Driscoll SD 25, Support: Edith McClafferty for SD38, Support: Kimberly Dudik for HD94, Support: Zach Brown for HD 63, Support: MT Republican Legislative Campaign Committee",26540.0,61,30000.0,2,6025.0
McKenna Starin Law,7049,12,Incidental,10/11/18,NA,Missoula,MT,"McKenna, Sydney","Taylor, Mary",Support: To make contributions to independent committees for independent expenditures for candidates and issues that impact the civil justice system.,7500.0,1,0.0,0,-15000.0
Missoula County Republican Central Cmte.,299,4,Political Party,11/06/17,NA,Missoula,MT,"Gaffney, Sharon K.",,,0.0,0,0.0,0,20316.19
"Datsopoulos, MacDonald, and Lind Partnership Political Committee",3760,1,Independent,10/24/14,NA,Missoula,MT,"Wekkin, Carol","Lind, Dennis","Other: Support or oppose local, district, and statewide candidates",0.0,0,0.0,0,0.0
Montana Young Republicans,6381,12,Political Party,02/07/20,NA,Great Falls,MT,"Trebas, Jeremy R","Tribble, Danielle","Other: To support the principles, objects, and platform of the Republican Party and to secure the election of all duly nominated Republican candidates., Other: To provide a means for Young Republicans in Montana to contribute to the betterment of the Republican Party, the U.S.A., and the State of Montana., Other: To develop County Young Republican Clubs and foster their growth.",5067.37,31,7514.65,11,4415.61
Billings Clinic,7386,5,Incidental,11/15/18,NA,Billings,MT,"Prewitt, Connie",,,0.0,0,0.0,0,-816831.7
Yellowstone Inusrance Exchange Incidental Committee,7337,1,Incidental,05/23/18,NA,Nashville,TN,"Luther, Jessie",,Other: contributed item to MHA PAC for fundraiser,0.0,0,0.0,0,-520.0
Libby Education Association Political Action Committee,5733,23,Independent,08/17/16,NA,Libby,MT,"Farmer, Lacie K",,,50.0,2,0.0,0,682.56
Ravalli County Democratic Women's Club,314,2,Political Party,06/27/16,NA,Hamilton,MT,"Gantt, Corrine",,Support: Promote Democratic values and Issues. Work with Candidates and the local Democratic Central Cmte to help elect Democratic Candidates.,0.0,0,0.0,0,0.0
Build Montana PAC (affiliation of the AFL-CIO),6998,1,Independent,03/26/20,NA,Helena,MT,"Ekblad, Alan D","Nisbet, Lorri L",,0.0,0,0.0,0,0.0
Holman Aviation,6472,1,Incidental,12/04/17,NA,Great Falls,MT,"Holman, Dwight",,Support: Support Yes for Cascade County Jobs Ballot Issue.,0.0,0,0.0,0,-1000.0
Greater Polson Community Foundation,8141,1,Incidental,12/12/19,NA,Polson,MT,"Kuberka, Kathy",,,16350.0,1,11350.0,5,-5000.0
Montanans for Better Government,2305,5,Independent,05/17/16,NA,Helena,MT,"Kuney, Lorna","Denowh, Charles",,0.0,0,0.0,0,0.0
Healthy Montana for I-185,7028,10,Ballot Issue,09/04/18,NA,Helena,MT,"Bailey, Dr. Steven","Laslovich, Chris",Support: Healthy Montana/Tobacco Tax I-185,0.0,0,0.0,0,69584.33
Montana Rural Voters  Action Fund,6418,2,Independent,11/24/17,NA,Billings,MT,"Keogh, Connie","Haight, Adam G","Oppose: Nadja Brown, Billings Ward 3 Municipal Election, Support: Penny Ronning, Ward 4 Billings Municipal Election, Oppose: George Blackard, Billings Ward 4 Municipal Election, Support: Denise Joy, Billings Ward 3 Municipal Election",0.0,0,0.0,0,894.74
Sidney Health Center Incidental Committee,7015,1,Incidental,04/04/18,NA,Sidney,MT,"Montgomery, Tina",,Support: Contribution made to support ballot initiative to increase tobacco taxes to support health care programs,0.0,0,0.0,0,-50050.0
Friends of Don Roberts,6250,1,Independent,07/18/17,NA,Billings,MT,"Workman, Ed",,"Support: Newspaper Ad (Billings Gazette) Supporting Don Roberts, Support: Don Roberts",0.0,0,0.0,0,0.0
Montana State Afl-cio,2950,1,Incidental,03/03/16,NA,Helena,MT,"Ekblad, Alan D","Nisbet, Lorri L","Oppose: LR 126 & LR 127, Support: Medicaid Expansion to 138% of federal poverty level",0.0,0,0.0,0,0.0
Montana State University Northern Alumni Foundation,7529,3,Incidental,08/30/18,NA,Havre,MT,"Meyer, Amanda",,Support: LR-128 SB85,0.0,0,0.0,0,-1100.0
MONTANA FREEDOM FUND,8883,1,Independent,05/29/20,NA,BELGRADE,MT,"DOZIER, JULIE",,Support: Tim Fox,2607.91,3,31000.0,9,-37115.86
The Trust for Public Land,3990,1,Incidental,04/20/15,NA,Bozeman,MT,"Weinstein, David",,Support: Support the Vote Yes for Water,0.0,0,0.0,0,-7231.0
Grant & Eisenhofer,8934,1,Incidental,06/03/20,NA,Wilmington,DE,"Martin, Elise",,Support: Contribution to Treasure State Conservatives,5000.0,1,0.0,0,-5000.0
Rocky Mountain Health Network,7315,1,Incidental,05/21/18,NA,Billings,MT,"Beam, Carol",,Other: contribution to MHA PAC,0.0,0,0.0,0,-100.0
Lincolns for Levies,6335,2,Ballot Issue,05/22/17,NA,Bozeman,MT,"Tage, Wendy K",,,0.0,0,0.0,0,2013.86
Montana Democratic Party aka Montana Democratic State Central Cmte,353,31,Political Party,03/25/20,NA,Helena,MT,"Hawk, Donavon","Giarraputo, Holly","Support: To elect Democratic Candidates in the State of Montana., Other: See Attachment, Support: To support the Democratic Slate except John Abarr",604897.18,143,706768.61,257,227708.93
Pro Business Pro Jobs Montana,8851,2,Independent,05/20/20,NA,Missoula ,MT,"Hertz, Adam",,,0.0,0,0.0,0,0.0
NARAL Montana Choice Action Team ,7427,11,Independent,06/24/20,NA,Helena,MT,"James, Alison C",,,0.0,0,0.0,0,4048.22
Blaine County Democratic Central Cmte.,226,16,Political Party,07/01/20,NA,Harlem,MT,"Kuntz, Kyle",,"Other: Support Tami Mitchel, Clerk of District Court; Support Mike Fox, Senate District 16",0.0,0,0.0,0,1844.91
Montana Brewers Association ,2996,1,Independent,01/29/16,NA,Helena,MT,"Goeltz, Jason","Leow, Matt",Support: To support the growth and well being of the craft brewing industry in Montana,0.0,0,0.0,0,100.0
Ash Grove Cement Company,6874,1,Incidental,01/04/18,NA,Overland Park,KS,"Clark, Jacqueline",,Support: To give funds to the Montana Business PAC to support pro-business candidates,0.0,0,0.0,0,-5000.0
Montana Native Vote Incidental Committee,7726,1,Incidental,10/17/18,NA,Billings,MT,"Whiteman, Rhonda","Berry, Leah","Support: I-185, Oppose: LR-129, Support: LR-128",0.0,0,0.0,0,-703.56
"Montana Interactive, LLC",8019,2,Incidental,09/11/19,NA,Helena,MT,"Sargeson, Fred",,Support: Support the Montana Republican Legislative Campaign Committee,5000.0,2,0.0,0,-5000.0
South Park Community Center,5565,1,Incidental,06/10/16,NA,Billings,MT,"Hodges, Jill",,Support: Yellowstone Co Mill Levy CR16-19,0.0,0,0.0,0,-500.0
Montanans for Effective Wildlife Management,5214,6,Ballot Issue,07/16/16,NA,Gildford,MT,"Buell, James M","Sheppard, Terry J",Oppose: I-177,0.0,0,0.0,0,0.0
NO on LR130,8338,4,Ballot Issue,02/28/20,NA,Helena,MT,"Burke, Erik",,Oppose: LR130,28.25,1,121096.68,66,971.75
Great Schools Billings,7948,2,Ballot Issue,06/11/19,NA,Billings,MT,"Driscoll, Robyn",,,48425.3,18,60074.99,40,6036.88
Montana Native Vote,5115,2,Independent,05/03/16,NA,BILLINGS,MT,"LUCAS, ANNA",,,0.0,0,0.0,0,0.0
American Civil Liberties Union Of Montana Foundation,4810,1,Incidental,11/09/15,NA,Helena,MT,"Zupanic, Niki",,Support: Lewis & Clark Co Public Safety bond and levy,0.0,0,0.0,0,-5000.0
Montanans for Liberty and Justice,3460,30,Independent,06/01/20,NA,Helena,MT,"Smith Jr., Allen","Taylor, Mary","Support: To make contributions to independent committees for independent expenditures for candidates and issues that impact the civil justice system. , Oppose: Laurie McKinnon",46.96,2,534.43,7,694.83
Marsy's Law for Montana,4584,3,Ballot Issue,02/11/16,NA,Helena,MT,"Denowh, Charles",,Support: To amend the constitution of the state of Montana to provide equal rights for victims of crime.,0.0,0,0.0,0,0.0
Lincoln County Republican Club,291,22,Political Party,03/25/20,NA,Libby ,MT,"Crabtree, Valerie",,Support: Our club is an autonomous self governing organization which informs the public regarding all candidates for all positions ranging from local to federal positions  We comply with non partisan ruling,1192.63,13,1380.33,99,1634.77
Butte Silver Bow County Democratic Central Cmte.,5079,20,Political Party,11/29/18,NA,Butte,MT,"Johnson, Ashley",,,0.0,0,0.0,0,1354.93
Montana Bankers PAC,2128,20,Independent,01/30/20,NA,Helena,MT,"Hegreberg, Cary","O'Reilly, Pam","Support: MONTANA CHAMBER PAC, Support: Corey Stapleton for Secretary of State, Support: Kristen Juras - Supreme  Court Justice, Support: Elsie Arntzen, Support: Jobs for Montana PAC, Support: Tim Fox - Attorney General, Support: Tom Welch for House, Support: Jesse Laslovich – Auditor race",0.0,0,4795.0,12,6641.41
Sanders County Democrats,324,13,Political Party,01/30/20,NA,Thompson Falls,MT,"Sheets, Karen C",,,5298.23,53,-2922.25,53,6859.98
NRA Big Sky Self-Defense Committee,8956,1,Ballot Issue,06/17/20,NA,Fairfax,VA,"Owens, Robert",,Support: LR-130,0.0,0,0.0,0,0.0
Butte Silver Bow County Republican Central Cmte.,331,25,Political Party,01/30/20,NA,Butte,MT,"Nordwick, Suzzann",,"Support: Steve Daines for United States Senate, Support: winner of MT GOP Primary for United States Congress, Support: winner of MT GOP Primary for Montana Governor",213.0,3,0.0,0,1998.42
Valley County Republican Central Cmte.,346,14,Political Party,03/05/18,NA,Glasgow,MT,"Enkerud, Kim",,Support: Support Republican Candidates for office.,601.0,5,3770.0,33,772.43
Billings Fire Fighters Local 521 PAC,2379,19,Independent,11/19/16,NA,Billings,MT,"Abell, Cameron J",,"Support: Shoots Veis for HD 51, Support: Jessica Karjala for HD 48, Support: Caryolyn Pease-Lopez, Support: Kari Boiter - HD 44, Oppose: Greg Gianforte for Governor, Support: Monica Lindeen Secretary Of State, Support: Jesse Laslovich – Auditor race, Support: Melissa Romano State Superintendent, Support: Steve Bullock - Governor, Support: Chris Goodridge - HD 52, Support: Kathy Kelker HD 47, Support: Elizabeth Pincolini for HD43, Support: Kelly McCarthy for HD 49, Support: Denise Juneau for U.S. House of Representatives, Support: Margie MacDonald for Senate District 26",1252.13,7,2186.88,6,11015.81
SAFE Montana Against I-182,6126,3,Ballot Issue,11/27/16,NA,Billings,MT,"Zabawa, Steve",,Oppose: I-182,0.0,0,0.0,0,0.0
Prairie County Republican Central Cmte.,311,9,Political Party,01/29/20,NA,Terry,MT,"Pirtz, Renee J",,Support: Neva Rathbun,5421.47,10,-230.0,72,4061.03
Rocket Vision 2020,8232,2,Ballot Issue,01/05/20,NA,Stevensville,MT,"Gunterman, Jennifer",,Support: Lone Rock School Levy,2131.0,6,1646.17,13,98.89
Lockwood Community Education Committee,6374,5,Ballot Issue,07/24/18,NA,Billings,MT,"Hartley/Treasurer, Devin","Hanson, Roxanne",Support: Proposition of Expansion to a K-12 District,0.0,0,0.0,0,0.0
Loose Caboose Casino of Helena,8136,1,Incidental,12/29/19,NA,Helena,MT,"Wenetta, Katie",,Support: Support Montana First Action,500.0,1,0.0,0,-500.0
Montanans for Research and Cures,4961,14,Ballot Issue,01/27/17,NA,Billings,MT,"Gray, Randy","Bell, Molly",Support: A ballot measure that would provide funding for biomedical research in Montana,0.0,0,0.0,0,2.7
Test Committee 2017,6396,1,Independent,09/15/17,NA,Testa,MT,"Testo, Testlee T",,,0.0,0,0.0,0,18455.0
"Montana Land Reliance, The",7494,1,Incidental,08/07/18,NA,Helena,MT,"Delger-DeMars, Lois E",,"Support: Yes for Open Space, Rivers, and Farmland Missoula County Bond",0.0,0,0.0,0,-15000.0
Big Sky Democrats,4971,16,Political Party,09/07/18,NA,Helena,MT,"Campbell, Tyler",,"Support: Steve Bullock, Support: Andrew Person, Support: Kari Boiter - HD 44, Support: Denise Juneau for U.S. House of Representatives, Support: Jesse Laslovich – Auditor race, Support: Zac Perry, Support: Jacob Bachmeier",1256.48,9,3639.0,73,3656.14
Flathead Valley Chapter TU,7540,1,Incidental,09/05/18,NA,Kalispell,MT,"Schustrom, Chris N",,Support: I-186: Requirements for Permits and Reclamation Plans of New Hard Rock Mines Initiative,0.0,0,0.0,0,-2000.0
"Matovich, Keller & Murphy P.C.",5524,1,Incidental,05/26/16,NA,Billings,MT,,,,0.0,0,0.0,0,-1000.0
BNSF Railway Company,5832,5,Incidental,12/15/16,NA,Fort Worth,TX,"Lund, Roberta","Johnson, Michelle",Other: To make contributions to independent expenditure committees for candidates and issues that affect the transportation industry.,0.0,0,0.0,0,-5000.0
Incidental test,3398,1,Incidental,09/24/14,NA,Butte,MT,"Trujillo, Kym",,,0.0,0,0.0,0,-1114.02
NEA Advocacy Fund,5766,4,Independent,04/28/17,NA,Washington,DC,"Edwards, Michael","Robillard, Lisa","Support: Jesse Laslovich for State Auditor, Support: Melissa Romano for St. Superintendent of Public Instruction, Support: Jim Shea for State Supreme Count, Support: Steve Bullock for Governor, Support: Monica Lindeen for Secretary of State, Support: Dirk Sandefur for State Supreme Court, Support: Mike McGrath for State Supreme Court, Other: To make independent expenditures on behalf of candidates who are friends of public education, Support: Tim Fox for Attorney General",0.0,0,0.0,0,0.0
SEIU 775,7085,12,Incidental,03/30/20,NA,Seattle,WA,"Helt, Jacquie",,Support: Healthy Montana I-185,83022.81,6,0.0,0,-484079.85
Montana Milling,5646,1,Incidental,07/22/16,NA,Great Falls,MT,"Thayer, Greg",,Support: Contribute to Yes for Great Falls Kids,0.0,0,0.0,0,-2800.0
Stillwater Billings Clinic to support I-185,7537,1,Incidental,09/05/18,NA,Columbus,MT,"Martinez, Ron",,Other: contribution to MHA PAC,0.0,0,0.0,0,-500.0
Garfield County Republican Central Cmte.,262,2,Political Party,05/06/20,NA,Mosby,MT,"Hill, Delores L",,Support: Support State Republicans through the state party,0.0,0,0.0,0,5828.75
First Interstate Bank,5458,1,Incidental,05/19/16,NA,Billings,MT,"Cook, Keith D",,Support: School Dist 2 Mill Levy and Yellowstone Elder Services,0.0,0,0.0,0,-12500.0
Heenan & Cook,8170,5,Incidental,12/30/19,NA,Billings,MT,"Heenan, John","Taylor, Mary","Other: Contributions are not earmarked for any specific candidates or ballot issues. , Support: To make contributions to independent committees for independent expenditures for candidates and issues that impact the civil justice system",10800.0,2,0.0,0,-10800.0
BNSF Railway Company,6380,2,Incidental,01/04/18,NA,Fort Worth,TX,"Lund, Roberta","Alt, Michelle",Support: To make contributions to independent expenditure committees for candidates and issues that affect the transportation industry,0.0,0,0.0,0,-10000.0
Doctors for a Healthy Montana (disband),8125,1,Incidental,02/27/20,NA,Kalispell,MT,"Regier, Matt K",,,0.0,0,100.0,1,100.0
"HealthCenter Northwest, L.L.C. Incidental Committee",6988,1,Incidental,05/01/18,NA,Kalispell,MT,"Wilson, Deborah",,Support: I-185,0.0,0,0.0,0,-63943.0
Business for Higher Education,6339,11,Ballot Issue,11/25/18,NA,Helena,MT,"Brown, Webb","Mahlum, Bridger",Support: Montana University System 6 Mill Levy,0.0,0,0.0,0,0.0
CTA for Helena Schools,6370,1,Incidental,07/24/17,NA,Billings,MT,"Wilson, Scott L",,Support: Yes! For Helena's Future,0.0,0,0.0,0,-2002.36
Rosebud Health Care Center,7544,1,Incidental,09/10/18,NA,Forsyth,MT,"Price, Mindy E",,,0.0,0,0.0,0,-500.0
Montana Environmental Information Center,2410,1,Incidental,02/01/10,NA,Helena,MT,"McLane, Adam",,Oppose: I-162,0.0,0,0.0,0,0.0
"Golden Eagle Construction, Inc.",6850,1,Incidental,11/30/17,NA,Helena,MT,"Nottingham, Dan",,Support: YES for Helena's Future,0.0,0,0.0,0,-250.0
Montanans for Experienced Judges,5638,8,Independent,01/30/18,NA,Billings,MT,"John, Heenan","Mary, Taylor","Support: Elect Experienced Judges, Support: Dirk Sandefur - Supreme Court",0.0,0,0.0,0,570.0
Billings Clinic,7959,1,Incidental,04/25/19,NA,Billings,MT,"Prewitt, Connie",,Support: SD2 Mill levy,5000.0,1,0.0,0,-5000.0
"Dodd, Blackford & Carls P.C.",8138,2,Incidental,03/27/20,NA,Bozeman,MT,"Carls, Hillary P",,Other: PAC contribution,7500.0,1,0.0,0,-7500.0
